,power_factor,voltage_a,voltage_b,voltage_c,current_a,current_b,current_c,power_real,power_reactive,thd_voltage_a,thd_voltage_b,thd_voltage_c,thd_current_a,thd_current_b,thd_current_c
2024-01-15 08:00:00+00:00,0.9457297467745149,120.09141512392632,120.49402087325731,120.20041395858482,50.37688954026436,51.35436239403808,49.01294871557136,18.187700668521117,6.166936790820829,3.6749622924067444,3.491214177786407,3.7484615382548796,3.0337098106419793,2.97303561442914,3.064046908748399
2024-01-15 08:00:01+00:00,0.9363154324182993,119.68905196514739,120.46273306265061,119.743098298257,50.68669540329125,51.58332538167747,49.32904167092064,18.085320843455975,6.054604389269136,2.7360108856225116,2.599210341341386,2.790731103334962,3.099352717042215,3.0373656627013705,3.130346244212637
2024-01-15 08:00:02+00:00,0.9365240612340201,120.22722974959106,120.403357528089,119.39800529183566,50.156589174534744,52.24329658967888,49.07846517822268,17.621407734438606,6.106886855131959,3.655396246961008,3.4726264346129576,3.7285041719002283,4.512679859026096,4.422426261845574,4.557806657616357
2024-01-15 08:00:03+00:00,0.9479255090543564,120.28531099321623,120.2652245947613,119.88076634433878,51.09461362721762,51.64664510208181,49.013975693948325,17.581779955493147,5.976830177146906,3.61163517279776,3.4310534141578715,3.683867876253715,4.73188316021777,4.6372454970134145,4.7792019918199475
2024-01-15 08:00:04+00:00,0.9476434274741655,119.41887819958261,120.08688413360971,119.71088395981053,49.4791228656634,51.732026075492755,49.15361726360737,17.642539944296477,6.053129356582172,2.101097873197244,1.9960429795373817,2.143119830661189,5.735437882488327,5.620729124838561,5.792792261313211
2024-01-15 08:00:05+00:00,0.9477739598842421,119.61458206924034,120.00075560114182,119.72017833820904,50.516901243735994,51.86023384130098,49.03127309398621,17.745810506196552,6.09764379338379,3.1354196917176997,2.9786487071318146,3.198128085552054,3.0589134657845634,2.997735196468872,3.089502600442409
2024-01-15 08:00:06+00:00,0.9480161321940086,120.04463519141993,120.63326729463918,119.90886736619245,49.6992675894145,52.33360507858889,49.984262661431266,17.869909312690375,5.9961649742281145,1.7309903880262576,1.6444408686249445,1.7656101957867827,5.7591901294163135,5.644006326827987,5.816782030710477
2024-01-15 08:00:07+00:00,0.9436262950732528,119.91245742279807,120.47678614242012,119.97462676093365,50.77351980320994,51.55065256230256,49.379577888934065,17.933893496783366,5.918788158593251,3.219772425861411,3.05878380456834,3.2841678743786393,3.7397143956221193,3.6649201077096767,3.7771115395783403
2024-01-15 08:00:08+00:00,0.9449928991908948,120.0033369609522,120.04040279465976,119.77901120322906,50.58553795283633,51.07455141675138,49.03609305503735,18.014812326977374,5.912668599395833,3.3389838457974244,3.172034653507553,3.405763522713373,4.079022388152532,3.9974419403894808,4.119812612034057
2024-01-15 08:00:09+00:00,0.9388092556593659,119.75351121211504,120.26139276963482,119.75120144659354,51.21463050602793,51.01329259531521,48.4101889797447,18.024646959827972,5.965571947841264,2.818061808099874,2.67715871769488,2.8744230442618712,3.883110281472572,3.805448075843121,3.921941384287298
2024-01-15 08:00:10+00:00,0.9489422708506507,120.2742908363212,120.16045785885458,120.38951294811665,50.59863666407474,52.17708867706504,49.25048448683924,18.025183598906303,6.031424544299306,1.6543202904840202,1.571604275959819,1.6874066962937007,4.25343333793999,4.16836467118119,4.29596767131939
2024-01-15 08:00:11+00:00,0.9596948446040189,120.2448560460685,119.91307829065897,120.13166162818113,50.181592131603885,51.99097817399383,49.0955708903397,18.267120932705456,5.993315996380305,1.809839294286556,1.7193473295722281,1.846036080172287,4.697231209224245,4.60328658503976,4.7442035213164875
