,violation_type,power_factor,voltage_a,voltage_b,voltage_c,current_a,current_b,current_c,power_real,power_reactive,thd_voltage_a,thd_voltage_b,thd_voltage_c,thd_current_a,thd_current_b,thd_current_c
2024-01-15 08:00:04+00:00,thd_current,0.9476434274741655,119.41887819958261,120.08688413360971,119.71088395981053,49.4791228656634,51.732026075492755,49.15361726360737,17.642539944296477,6.053129356582172,2.101097873197244,1.9960429795373817,2.143119830661189,5.735437882488327,5.620729124838561,5.792792261313211
2024-01-15 08:00:06+00:00,thd_current,0.9480161321940086,120.04463519141993,120.63326729463918,119.90886736619245,49.6992675894145,52.33360507858889,49.984262661431266,17.869909312690375,5.9961649742281145,1.7309903880262576,1.6444408686249445,1.7656101957867827,5.7591901294163135,5.644006326827987,5.816782030710477
2024-01-15 08:00:12+00:00,thd_current,0.9472665421920007,120.03237466119839,120.30588599582028,120.02260415644572,50.17285411045107,51.785544212747425,49.11190210550133,17.706545528916457,5.961529800735025,5.034100057233086,4.782395054371432,5.134782058377748,5.037553269209647,4.936802203825454,5.087928801901744
2024-01-15 08:00:21+00:00,thd_current,0.9485578160684891,119.81770736190276,120.2423662351395,119.98685337771002,50.94954013884898,51.51911532719672,49.72050061370963,18.118624796884358,6.015259300553849,2.811660988094968,2.6710779386902193,2.8678942078568674,5.306522582004751,5.200392130364656,5.3595878078247985
2024-01-15 08:00:22+00:00,thd_current,0.9564646857274949,120.38979508705474,120.43614434400303,119.83747635854012,51.495354600334196,53.03926697508397,49.69375322643009,18.157491275099684,6.137038468237859,3.9589248686995937,3.760978625264614,4.038103366073585,5.586160291910825,5.474437086072609,5.642021894829933
2024-01-15 08:00:26+00:00,thd_current,0.955686821955067,120.18691054854357,119.88846987485783,119.36328528829378,50.92084961263613,52.88278532646679,50.019094210952666,18.349410363803937,6.042843995735219,1.9608539389668718,1.862811242018528,2.000071017746209,5.384856756774875,5.2771596216393775,5.4387053243426235
2024-01-15 08:00:48+00:00,thd_current,0.9483838284058961,120.25388077492096,120.56224455565508,120.23352803453122,51.336329882674534,53.37326620488912,50.89141279960407,18.091737692696718,5.98106079401102,1.6541410220940667,1.5714339709893632,1.687223842535948,5.239772515320479,5.13497706501407,5.292170240473684
2024-01-15 08:00:57+00:00,thd_current,0.9361100545629139,120.5080742432165,120.08388988763978,119.50506610176441,51.431873569999645,53.40418856178618,51.178159130116086,17.990590066725414,6.141592535854388,3.3073257493461856,3.141959461878876,3.373472264333109,5.523222900550776,5.412758442539761,5.578455129556284
2024-01-15 08:00:59+00:00,thd_current,0.949018237575412,120.3521590284498,119.98942710222288,119.85968749823756,51.868305938863465,53.8156978416344,51.01589645466862,18.00058294655042,6.04261764583378,3.750207784966197,3.562697395717887,3.825211940665521,4.98684308337225,4.887106221704805,5.036711514205972
2024-01-15 08:01:02+00:00,thd_current,0.9472102067877305,120.1136255329551,120.64433635832644,119.3388190862582,51.52141282152488,53.24958122277998,50.811538360292865,18.335997124018316,6.1006655346979715,3.186318940179674,3.02700299317069,3.2500453189832674,4.999106037502623,4.89912391675257,5.049097097877649
2024-01-15 08:01:19+00:00,thd_current,0.960777382134763,119.98966276570621,120.66840643474795,120.18360037964806,52.211562067725005,54.426468114090056,51.86706756282789,18.229214036324805,5.984837363461963,2.8948248217173544,2.7500835806314865,2.952721318151702,4.97140619770793,4.8719780737537715,5.021120259685009
